time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
15.268,0.722697,-0.616239,0,0.710425,-0.622186,0.929305,0.947978,-0.900157,-0.0122473,0.947978,-0.900234,0.00346451,[[15.359:[0.805223;-0.712201;0.92808]]+[15.459:[0.90002;-0.802217;0.926856]]+[15.559:[0.994818;-0.892233;0.925631]]+[15.659:[1.08962;-0.982249;0.924406]]+[15.759:[1.18441;-1.07226;0.923182]]+[15.859:[1.27921;-1.16228;0.921957]]+[15.959:[1.37401;-1.2523;0.920732]]+[16.059:[1.46881;-1.34231;0.919507]]+[16.159:[1.56361;-1.43233;0.918283]]+[16.259:[1.6584;-1.52234;0.917058]]+],
15.268,0.722697,-0.616239,0,0.710425,-0.622186,0.929305,0.947978,-0.900157,-0.0122473,0.947978,-0.900234,0.00346451,[[15.359:[0.805223;-0.712201;0.92808]]+[15.459:[0.90002;-0.802217;0.926856]]+[15.559:[0.994818;-0.892233;0.925631]]+[15.659:[1.08962;-0.982249;0.924406]]+[15.759:[1.18441;-1.07226;0.923182]]+[15.859:[1.27921;-1.16228;0.921957]]+[15.959:[1.37401;-1.2523;0.920732]]+[16.059:[1.46881;-1.34231;0.919507]]+[16.159:[1.56361;-1.43233;0.918283]]+[16.259:[1.6584;-1.52234;0.917058]]+],
15.368,0.818859,-0.705879,0,0.809979,-0.717746,0.928716,0.960318,-0.905172,-0.0027864,0.944374,-0.921794,-0.0027864,[[15.464:[0.906011;-0.808263;0.928438]]+[15.564:[1.00204;-0.898781;0.928159]]+[15.664:[1.09807;-0.989298;0.92788]]+[15.764:[1.19411;-1.07982;0.927602]]+[15.864:[1.29014;-1.17033;0.927323]]+[15.964:[1.38617;-1.26085;0.927044]]+[16.064:[1.4822;-1.35137;0.926766]]+[16.164:[1.57823;-1.44188;0.926487]]+[16.264:[1.67427;-1.5324;0.926208]]+],
15.468,0.90521,-0.787798,0,0.906758,-0.80989,0.927656,0.95664,-0.918341,-0.0112173,0.940467,-0.934897,-0.0112173,[[15.565:[1.00242;-0.901724;0.926535]]+[15.665:[1.09809;-0.993558;0.925413]]+[15.765:[1.19375;-1.08539;0.924291]]+[15.865:[1.28941;-1.17723;0.923169]]+[15.965:[1.38508;-1.26906;0.922048]]+[16.065:[1.48074;-1.36089;0.920926]]+[16.165:[1.57641;-1.45273;0.919804]]+[16.265:[1.67207;-1.54456;0.918683]]+[16.365:[1.76773;-1.6364;0.917561]]+],
15.569,1.00131,-0.879691,0,1.00264,-0.902193,0.926961,0.960156,-0.927248,-0.0211004,0.943827,-0.943863,-0.0211004,[[15.665:[1.09866;-0.994917;0.924851]]+[15.765:[1.19467;-1.08764;0.922741]]+[15.865:[1.29069;-1.18037;0.920631]]+[15.965:[1.3867;-1.27309;0.918521]]+[16.065:[1.48272;-1.36582;0.916411]]+[16.165:[1.57873;-1.45854;0.914301]]+[16.265:[1.67475;-1.55127;0.912191]]+[16.365:[1.77076;-1.64399;0.910081]]+[16.465:[1.86678;-1.73672;0.907971]]+[16.565:[1.9628;-1.82944;0.905861]]+],
15.669,1.10741,-0.981395,0,1.09842,-0.995332,0.925105,0.952447,-0.933196,-0.0239714,0.936016,-0.949677,-0.0239714,[[15.765:[1.19367;-1.08865;0.922708]]+[15.865:[1.28891;-1.18197;0.92031]]+[15.965:[1.38416;-1.27529;0.917913]]+[16.065:[1.4794;-1.36861;0.915516]]+[16.165:[1.57465;-1.46193;0.913119]]+[16.265:[1.66989;-1.55525;0.910722]]+[16.365:[1.76514;-1.64857;0.908325]]+[16.465:[1.86038;-1.74189;0.905928]]+[16.565:[1.95563;-1.83521;0.90353]]+[16.665:[2.05087;-1.92853;0.901133]]+],
15.768,1.19223,-1.06477,0,1.19035,-1.088,0.927764,0.888787,-0.938371,0.0695988,0.874772,-0.953739,-0.02196,[[15.864:[1.27923;-1.18184;0.934723]]+[15.964:[1.36811;-1.27567;0.941683]]+[16.064:[1.45698;-1.36951;0.948643]]+[16.164:[1.54586;-1.46335;0.955603]]+[16.264:[1.63474;-1.55719;0.962563]]+[16.364:[1.72362;-1.65102;0.969523]]+[16.464:[1.8125;-1.74486;0.976483]]+[16.564:[1.90138;-1.8387;0.983443]]+[16.664:[1.99026;-1.93253;0.990403]]+],
15.868,1.26879,-1.14861,0,1.27192,-1.18311,0.937643,0.717175,-0.945063,0.10998,0.708686,-0.957435,-0.0257157,[[15.965:[1.34364;-1.27761;0.948641]]+[16.065:[1.41536;-1.37212;0.959639]]+[16.165:[1.48708;-1.46663;0.970637]]+[16.265:[1.55879;-1.56113;0.981635]]+[16.365:[1.63051;-1.65564;0.992633]]+[16.465:[1.70223;-1.75015;1.00363]]+[16.565:[1.77395;-1.84465;1.01463]]+[16.665:[1.84566;-1.93916;1.02563]]+[16.765:[1.91738;-2.03366;1.03663]]+],
15.969,1.34761,-1.2614,0,1.33255,-1.27812,0.94663,0.522053,-0.955789,0.064565,0.508827,-0.964754,-0.024159,[[16.065:[1.38476;-1.3737;0.953086]]+[16.165:[1.43696;-1.46928;0.959543]]+[16.265:[1.48917;-1.56486;0.966]]+[16.365:[1.54137;-1.66044;0.972456]]+[16.465:[1.59358;-1.75602;0.978913]]+[16.565:[1.64578;-1.8516;0.985369]]+[16.665:[1.69799;-1.94718;0.991826]]+[16.765:[1.75019;-2.04276;0.998282]]+[16.865:[1.8024;-2.13833;1.00474]]+],
16.068,1.38105,-1.32805,0,1.3763,-1.37387,0.950933,0.356143,-0.963278,0.023936,0.339307,-0.969347,-0.0235152,[[16.165:[1.41191;-1.4702;0.953326]]+[16.265:[1.44753;-1.56652;0.95572]]+[16.365:[1.48314;-1.66285;0.958113]]+[16.465:[1.51875;-1.75918;0.960507]]+[16.565:[1.55437;-1.85551;0.962901]]+[16.665:[1.58998;-1.95184;0.965294]]+[16.765:[1.6256;-2.04816;0.967688]]+[16.865:[1.66121;-2.14449;0.970081]]+[16.965:[1.69683;-2.24082;0.972475]]+],
16.169,1.41785,-1.43336,0,1.40488,-1.46902,0.951732,0.220595,-0.960731,-0.00406601,0.183994,-0.967844,-0.0332585,[[16.264:[1.42694;-1.56509;0.951325]]+[16.364:[1.449;-1.66116;0.950918]]+[16.464:[1.47106;-1.75724;0.950512]]+[16.564:[1.49312;-1.85331;0.950105]]+[16.664:[1.51518;-1.94938;0.949699]]+[16.764:[1.53724;-2.04545;0.949292]]+[16.864:[1.5593;-2.14153;0.948885]]+[16.964:[1.58136;-2.2376;0.948479]]+[17.064:[1.60342;-2.33367;0.948072]]+],
16.268,1.43511,-1.53952,0,1.4176,-1.5628,0.950672,0.0417404,-0.971806,-0.0210714,0.00402197,-0.972671,-0.0221056,[[16.361:[1.42178;-1.65998;0.948565]]+[16.461:[1.42595;-1.75717;0.946458]]+[16.561:[1.43012;-1.85435;0.944351]]+[16.661:[1.4343;-1.95153;0.942244]]+[16.761:[1.43847;-2.04871;0.940137]]+[16.861:[1.44265;-2.14589;0.938029]]+[16.961:[1.44682;-2.24307;0.935922]]+[17.061:[1.45099;-2.34025;0.933815]]+[17.161:[1.45517;-2.43743;0.931708]]+],
16.372,1.4306,-1.64684,0,1.41235,-1.6662,0.946982,-0.13958,-0.979318,-0.0500168,-0.17972,-0.97385,-0.019099,[[16.464:[1.39881;-1.76119;0.94213]]+[16.564:[1.38485;-1.85912;0.937129]]+[16.664:[1.37089;-1.95705;0.932127]]+[16.764:[1.35694;-2.05499;0.927125]]+[16.864:[1.34298;-2.15292;0.922124]]+[16.964:[1.32902;-2.25085;0.917122]]+[17.064:[1.31506;-2.34878;0.91212]]+[17.164:[1.3011;-2.44671;0.907119]]+[17.264:[1.28715;-2.54465;0.902117]]+],
16.468,1.40668,-1.74527,0,1.38796,-1.76254,0.941213,-0.332465,-0.987668,-0.0701395,-0.37334,-0.975463,-0.00539162,[[16.565:[1.35471;-1.86131;0.934199]]+[16.665:[1.32146;-1.96007;0.927185]]+[16.765:[1.28822;-2.05884;0.920171]]+[16.865:[1.25497;-2.15761;0.913157]]+[16.965:[1.22172;-2.25637;0.906143]]+[17.065:[1.18848;-2.35514;0.899129]]+[17.165:[1.15523;-2.45391;0.892115]]+[17.265:[1.12198;-2.55267;0.885101]]+[17.365:[1.08874;-2.65144;0.878087]]+],
16.569,1.36396,-1.8448,0,1.34449,-1.8617,0.932064,-0.516025,-0.993679,-0.0985322,-0.559027,-0.975065,-0.0112193,[[16.665:[1.29289;-1.96106;0.92221]]+[16.765:[1.24129;-2.06043;0.912357]]+[16.865:[1.18968;-2.1598;0.902504]]+[16.965:[1.13808;-2.25917;0.892651]]+[17.065:[1.08648;-2.35854;0.882797]]+[17.165:[1.03488;-2.4579;0.872944]]+[17.265:[0.983273;-2.55727;0.863091]]+[17.365:[0.931671;-2.65664;0.853238]]+[17.465:[0.880068;-2.75601;0.843385]]+],
16.668,1.31191,-1.93517,0,1.2849,-1.96149,0.922876,-0.652544,-1.00065,-0.0889759,-0.692606,-0.977265,-0.0166702,[[16.765:[1.21965;-2.06155;0.913979]]+[16.865:[1.15439;-2.16162;0.905081]]+[16.965:[1.08914;-2.26168;0.896183]]+[17.065:[1.02389;-2.36175;0.887286]]+[17.165:[0.958631;-2.46181;0.878388]]+[17.265:[0.893376;-2.56188;0.869491]]+[17.365:[0.828122;-2.66194;0.860593]]+[17.465:[0.762867;-2.76201;0.851695]]+[17.565:[0.697613;-2.86207;0.842798]]+],
16.768,1.24283,-2.03622,0,1.2138,-2.06186,0.915679,-0.752571,-1.00456,-0.0638071,-0.789705,-0.977685,-0.00874137,[[16.865:[1.13854;-2.16232;0.909299]]+[16.965:[1.06329;-2.26278;0.902918]]+[17.065:[0.988028;-2.36323;0.896537]]+[17.165:[0.912771;-2.46369;0.890157]]+[17.265:[0.837514;-2.56415;0.883776]]+[17.365:[0.762256;-2.6646;0.877395]]+[17.465:[0.686999;-2.76506;0.871014]]+[17.565:[0.611742;-2.86551;0.864634]]+[17.665:[0.536485;-2.96597;0.858253]]+],
16.868,1.16585,-2.13666,0,1.1357,-2.15995,0.914204,-0.81583,-0.965856,0.0251223,-0.847647,-0.938332,-0.0107428,[[16.964:[1.05412;-2.25653;0.916716]]+[17.064:[0.972535;-2.35312;0.919228]]+[17.164:[0.890952;-2.4497;0.92174]]+[17.264:[0.809369;-2.54629;0.924253]]+[17.364:[0.727786;-2.64287;0.926765]]+[17.464:[0.646203;-2.73946;0.929277]]+[17.564:[0.56462;-2.83604;0.931789]]+[17.664:[0.483037;-2.93263;0.934301]]+[17.764:[0.401454;-3.02922;0.936814]]+],
16.968,1.07525,-2.24033,0,1.05087,-2.25326,0.916809,-0.858513,-0.885353,0.0300116,-0.8873,-0.856917,-0.0137223,[[17.065:[0.965023;-2.3418;0.919811]]+[17.165:[0.879171;-2.43033;0.922812]]+[17.265:[0.79332;-2.51887;0.925813]]+[17.365:[0.707469;-2.6074;0.928814]]+[17.465:[0.621617;-2.69594;0.931815]]+[17.565:[0.535766;-2.78447;0.934816]]+[17.665:[0.449915;-2.87301;0.937818]]+[17.765:[0.364064;-2.96154;0.940819]]+[17.865:[0.278212;-3.05008;0.94382]]+],
17.069,0.989015,-2.32541,0,0.966007,-2.33435,0.921997,-0.889002,-0.784129,0.0613575,-0.914616,-0.756586,-0.00176286,[[17.162:[0.877107;-2.41276;0.928133]]+[17.262:[0.788207;-2.49117;0.934269]]+[17.362:[0.699307;-2.56959;0.940405]]+[17.462:[0.610406;-2.648;0.946541]]+[17.562:[0.521506;-2.72641;0.952676]]+[17.662:[0.432606;-2.80483;0.958812]]+[17.762:[0.343706;-2.88324;0.964948]]+[17.862:[0.254806;-2.96165;0.971084]]+[17.962:[0.165906;-3.04006;0.977219]]+],
17.168,0.900338,-2.40021,0,0.873281,-2.40915,0.928007,-0.908938,-0.677175,0.0486497,-0.932018,-0.646827,-0.00775447,[[17.265:[0.782387;-2.47687;0.932872]]+[17.365:[0.691493;-2.54459;0.937737]]+[17.465:[0.6006;-2.6123;0.942602]]+[17.565:[0.509706;-2.68002;0.947467]]+[17.665:[0.418812;-2.74774;0.952332]]+[17.765:[0.327918;-2.81546;0.957197]]+[17.865:[0.237024;-2.88317;0.962062]]+[17.965:[0.14613;-2.95089;0.966927]]+[18.065:[0.0552366;-3.01861;0.971792]]+],
17.268,0.828079,-2.45255,0,0.783479,-2.47251,0.931939,-0.91244,-0.598859,0.0267928,-0.942532,-0.550813,-0.0116584,[[17.364:[0.692235;-2.53239;0.934619]]+[17.464:[0.600991;-2.59228;0.937298]]+[17.564:[0.509747;-2.65216;0.939977]]+[17.664:[0.418503;-2.71205;0.942657]]+[17.764:[0.327259;-2.77194;0.945336]]+[17.864:[0.236015;-2.83182;0.948015]]+[17.964:[0.144771;-2.89171;0.950694]]+[18.064:[0.0535269;-2.95159;0.953374]]+[18.164:[-0.0377172;-3.01148;0.956053]]+],
17.368,0.745806,-2.50493,0,0.690793,-2.52919,0.933086,-0.923117,-0.526778,0.00854213,-0.949421,-0.477176,-0.0248044,[[17.465:[0.598481;-2.58187;0.93394]]+[17.565:[0.506169;-2.63455;0.934794]]+[17.665:[0.413858;-2.68722;0.935648]]+[17.765:[0.321546;-2.7399;0.936503]]+[17.865:[0.229234;-2.79258;0.937357]]+[17.965:[0.136923;-2.84526;0.938211]]+[18.065:[0.0446109;-2.89793;0.939065]]+[18.165:[-0.0477008;-2.95061;0.939919]]+[18.265:[-0.140012;-3.00329;0.940774]]+],
17.468,0.634757,-2.56512,0,0.603466,-2.57446,0.934752,-0.934614,-0.443384,0.0228154,-0.956538,-0.39409,-0.0184794,[[17.559:[0.510005;-2.6188;0.937033]]+[17.659:[0.416544;-2.66314;0.939315]]+[17.759:[0.323082;-2.70748;0.941596]]+[17.859:[0.229621;-2.75182;0.943878]]+[17.959:[0.13616;-2.79615;0.946159]]+[18.059:[0.0426982;-2.84049;0.948441]]+[18.159:[-0.0507631;-2.88483;0.950722]]+[18.259:[-0.144224;-2.92917;0.953004]]+[18.359:[-0.237686;-2.97351;0.955286]]+],
17.569,0.550358,-2.60143,0,0.503624,-2.61501,0.936008,-0.947134,-0.3348,0.00569206,-0.963358,-0.284184,-0.0191491,[[17.665:[0.40891;-2.64849;0.936577]]+[17.765:[0.314197;-2.68197;0.937146]]+[17.865:[0.219484;-2.71545;0.937715]]+[17.965:[0.12477;-2.74892;0.938284]]+[18.065:[0.0300569;-2.7824;0.938854]]+[18.165:[-0.0646565;-2.81589;0.939423]]+[18.265:[-0.15937;-2.84936;0.939992]]+[18.365:[-0.254083;-2.88284;0.940561]]+[18.465:[-0.348797;-2.91632;0.94113]]+],
17.67,0.455519,-2.63276,0,0.40828,-2.64332,0.936318,-0.957607,-0.239277,-0.00336111,-0.968817,-0.187447,-0.023081,[[17.765:[0.312519;-2.66725;0.935982]]+[17.865:[0.216759;-2.69118;0.935646]]+[17.965:[0.120998;-2.7151;0.93531]]+[18.065:[0.0252374;-2.73903;0.934974]]+[18.165:[-0.0705233;-2.76296;0.934638]]+[18.265:[-0.166284;-2.78689;0.934302]]+[18.365:[-0.262045;-2.81082;0.933966]]+[18.465:[-0.357805;-2.83474;0.93363]]+[18.565:[-0.453566;-2.85867;0.933293]]+],
17.768,0.359581,-2.65369,0,0.312731,-2.65973,0.936035,-0.971793,-0.104819,-0.0155435,-0.975947,-0.0511287,-0.0228819,[[17.864:[0.215551;-2.67021;0.934481]]+[17.964:[0.118372;-2.68069;0.932927]]+[18.064:[0.0211928;-2.69117;0.931372]]+[18.164:[-0.0759865;-2.70166;0.929818]]+[18.264:[-0.173166;-2.71214;0.928264]]+[18.364:[-0.270345;-2.72262;0.926709]]+[18.464:[-0.367525;-2.7331;0.925155]]+[18.564:[-0.464704;-2.74358;0.923601]]+[18.664:[-0.561883;-2.75406;0.922046]]+],
17.868,0.242374,-2.66121,0,0.214805,-2.66299,0.933933,-0.985413,0.0270127,-0.0286782,-0.982649,0.0814577,-0.0188918,[[17.964:[0.116264;-2.66029;0.931065]]+[18.064:[0.0177225;-2.65759;0.928198]]+[18.164:[-0.0808188;-2.65489;0.92533]]+[18.264:[-0.17936;-2.65219;0.922462]]+[18.364:[-0.277901;-2.64948;0.919594]]+[18.464:[-0.376443;-2.64678;0.916726]]+[18.564:[-0.474984;-2.64408;0.913859]]+[18.664:[-0.573525;-2.64138;0.910991]]+[18.764:[-0.672067;-2.63868;0.908123]]+],
17.973,0.152837,-2.65427,0,0.112253,-2.65265,0.929759,-1.00484,0.157725,-0.055798,-0.991391,0.233363,-0.0195324,[[18.067:[0.0117688;-2.63688;0.924179]]+[18.167:[-0.0887153;-2.62111;0.918599]]+[18.267:[-0.189199;-2.60534;0.91302]]+[18.367:[-0.289684;-2.58956;0.90744]]+[18.467:[-0.390168;-2.57379;0.90186]]+[18.567:[-0.490652;-2.55802;0.89628]]+[18.667:[-0.591136;-2.54225;0.8907]]+[18.767:[-0.69162;-2.52647;0.885121]]+[18.867:[-0.792104;-2.5107;0.879541]]+],
18.068,0.0515504,-2.63071,0,0.0139119,-2.62836,0.922417,-1.02085,0.337079,-0.0905198,-0.994846,0.416997,-0.0183884,[[18.164:[-0.0881726;-2.59465;0.913365]]+[18.264:[-0.190257;-2.56095;0.904313]]+[18.364:[-0.292342;-2.52724;0.895261]]+[18.464:[-0.394426;-2.49353;0.886209]]+[18.564:[-0.496511;-2.45982;0.877157]]+[18.664:[-0.598595;-2.42612;0.868105]]+[18.764:[-0.70068;-2.39241;0.859053]]+[18.864:[-0.802765;-2.3587;0.850002]]+[18.964:[-0.904849;-2.32499;0.84095]]+],
18.168,-0.0616422,-2.58417,0,-0.0899296,-2.58466,0.912713,-1.03363,0.507679,-0.100356,-0.995703,0.586882,-0.0188615,[[18.265:[-0.193293;-2.53389;0.902677]]+[18.365:[-0.296657;-2.48312;0.892642]]+[18.465:[-0.40002;-2.43235;0.882606]]+[18.565:[-0.503383;-2.38158;0.872571]]+[18.665:[-0.606747;-2.33082;0.862535]]+[18.765:[-0.71011;-2.28005;0.852499]]+[18.865:[-0.813474;-2.22928;0.842464]]+[18.965:[-0.916837;-2.17851;0.832428]]+[19.065:[-1.0202;-2.12774;0.822393]]+],
18.269,-0.165883,-2.52616,0,-0.193806,-2.52604,0.903004,-1.04268,0.642902,-0.0889009,-0.995289,0.71945,-0.0137734,[[18.365:[-0.298073;-2.46175;0.894114]]+[18.465:[-0.402341;-2.39746;0.885224]]+[18.565:[-0.506608;-2.33317;0.876334]]+[18.665:[-0.610876;-2.26888;0.867444]]+[18.765:[-0.715143;-2.20459;0.858553]]+[18.865:[-0.819411;-2.1403;0.849663]]+[18.965:[-0.923678;-2.07601;0.840773]]+[19.065:[-1.02795;-2.01172;0.831883]]+[19.165:[-1.13221;-1.94743;0.822993]]+],
18.368,-0.271152,-2.45747,0,-0.298505,-2.45648,0.895203,-1.0499,0.732655,-0.0755416,-0.996236,0.807419,-0.0192659,[[18.465:[-0.403496;-2.38321;0.887648]]+[18.565:[-0.508486;-2.30995;0.880094]]+[18.665:[-0.613476;-2.23668;0.87254]]+[18.765:[-0.718466;-2.16341;0.864986]]+[18.865:[-0.823456;-2.09015;0.857432]]+[18.965:[-0.928446;-2.01688;0.849878]]+[19.065:[-1.03344;-1.94362;0.842323]]+[19.165:[-1.13843;-1.87035;0.834769]]+[19.265:[-1.24342;-1.79709;0.827215]]+],
18.468,-0.35565,-2.39714,0,-0.40333,-2.37956,0.889319,-1.04701,0.796591,-0.04692,-0.988896,0.868796,-0.0166096,[[18.565:[-0.508031;-2.2999;0.884627]]+[18.665:[-0.612733;-2.22024;0.879935]]+[18.765:[-0.717434;-2.14058;0.875243]]+[18.865:[-0.822135;-2.06092;0.870551]]+[18.965:[-0.926837;-1.98127;0.865859]]+[19.065:[-1.03154;-1.90161;0.861167]]+[19.165:[-1.13624;-1.82195;0.856475]]+[19.265:[-1.24094;-1.74229;0.851783]]+[19.365:[-1.34564;-1.66263;0.847091]]+],
18.568,-0.461323,-2.31728,0,-0.508105,-2.29756,0.885814,-1.04914,0.835551,-0.0326967,-0.988295,0.907132,-0.0168676,[[18.665:[-0.613019;-2.21401;0.882544]]+[18.765:[-0.717932;-2.13045;0.879274]]+[18.865:[-0.822846;-2.0469;0.876005]]+[18.965:[-0.927759;-1.96334;0.872735]]+[19.065:[-1.03267;-1.87979;0.869465]]+[19.165:[-1.13759;-1.79623;0.866196]]+[19.265:[-1.2425;-1.71268;0.862926]]+[19.365:[-1.34741;-1.62912;0.859656]]+[19.465:[-1.45233;-1.54557;0.856387]]+],
18.668,-0.588936,-2.21764,0,-0.613377,-2.21273,0.88393,-1.05563,0.855484,-0.0207269,-0.993384,0.927037,-0.0207269,[[18.765:[-0.71894;-2.12718;0.881858]]+[18.865:[-0.824504;-2.04163;0.879785]]+[18.965:[-0.930067;-1.95609;0.877712]]+[19.065:[-1.03563;-1.87054;0.875639]]+[19.165:[-1.14119;-1.78499;0.873567]]+[19.265:[-1.24676;-1.69944;0.871494]]+[19.365:[-1.35232;-1.61389;0.869421]]+[19.465:[-1.45788;-1.52834;0.867349]]+[19.565:[-1.56345;-1.4428;0.865276]]+],
18.768,-0.674508,-2.15015,0,-0.719186,-2.12669,0.882311,-1.07282,0.850656,-0.0166437,-0.994596,0.940921,-0.0166437,[[18.865:[-0.826468;-2.04162;0.880647]]+[18.965:[-0.93375;-1.95656;0.878982]]+[19.065:[-1.04103;-1.87149;0.877318]]+[19.165:[-1.14831;-1.78643;0.875653]]+[19.265:[-1.2556;-1.70136;0.873989]]+[19.365:[-1.36288;-1.6163;0.872325]]+[19.465:[-1.47016;-1.53123;0.87066]]+[19.565:[-1.57744;-1.44616;0.868996]]+[19.665:[-1.68472;-1.3611;0.867332]]+],
18.868,-0.782005,-2.06491,0,-0.823552,-2.04379,0.880094,-1.08029,0.859419,-0.0209417,-1.00127,0.950302,-0.0209417,[[18.962:[-0.931581;-1.95784;0.877999]]+[19.062:[-1.03961;-1.8719;0.875905]]+[19.162:[-1.14764;-1.78596;0.873811]]+[19.262:[-1.25567;-1.70002;0.871717]]+[19.362:[-1.3637;-1.61408;0.869623]]+[19.462:[-1.47172;-1.52813;0.867529]]+[19.562:[-1.57975;-1.44219;0.865434]]+[19.662:[-1.68778;-1.35625;0.86334]]+[19.762:[-1.79581;-1.27031;0.861246]]+],
18.968,-0.899961,-1.97003,0,-0.930771,-1.95621,0.883809,-1.0111,0.876953,0.115414,-0.937821,0.961739,-0.0152542,[[19.063:[-1.03188;-1.86852;0.89535]]+[19.163:[-1.13299;-1.78082;0.906892]]+[19.263:[-1.2341;-1.69312;0.918433]]+[19.363:[-1.33521;-1.60543;0.929974]]+[19.463:[-1.43632;-1.51773;0.941516]]+[19.563:[-1.53743;-1.43004;0.953057]]+[19.663:[-1.63854;-1.34234;0.964599]]+[19.763:[-1.73965;-1.25465;0.97614]]+[19.863:[-1.84076;-1.16695;0.987681]]+],
